problem_id,citizen_problem,category,university_domain,matching_keywords
22,Plastic waste is accumulating near a lake,Environment,Environmental Engineering,"plastic, waste, lake, pollution"
23,Residents need a better household waste segregation system,Environment,Environmental Engineering,"waste segregation, household waste, recycling"
24,A local pond is becoming polluted,Environment,Environmental Engineering,"pond, pollution, water, waste"
25,Air pollution is increasing near a busy road,Environment,Environmental Engineering,"air pollution, traffic, emissions, road"
26,Noise pollution is affecting a residential area,Environment,Environmental Engineering,"noise pollution, traffic, residential"
27,Public toilets are not maintained properly,Public Administration,Environmental Engineering,"public toilet, sanitation, maintenance"
28,Mosquito breeding is increasing because of stagnant water,Healthcare,Public Health / Environmental Engineering,"mosquito, stagnant water, disease, sanitation"
29,A primary health centre needs better digital appointment access,Healthcare,Computer Science / Health Technology,"healthcare, appointment, digital, PHC"
30,Patients in remote areas struggle to access specialist consultation,Healthcare,Health Technology,"telemedicine, specialist, rural healthcare"
31,Medicine availability is difficult to check before visiting a clinic,Healthcare,Computer Science / Health Informatics,"medicine, availability, pharmacy, healthcare"
32,Elderly residents need easier access to health information,Healthcare,Health Informatics,"elderly, healthcare, information, accessibility"
33,Ambulance response is difficult to coordinate in remote areas,Healthcare,Computer Science / IoT,"ambulance, emergency, GPS, healthcare"
34,Students in a village lack reliable internet for online classes,Education,Computer Science / ECE,"students, internet, online classes, connectivity"
35,School classrooms need low-cost digital learning tools,Education,Computer Science / Education Technology,"school, digital learning, classroom, edtech"
36,College students need better access to local skill training,Education,Computer Science / Education Technology,"students, skills, training, education"
37,A school library needs a digital catalog,Education,Computer Science,"library, catalog, digital, school"
38,Students need a platform to find scholarships,Education,Computer Science,"students, scholarship, education, platform"
39,Students with disabilities need accessible learning materials,Accessibility,Computer Science / Education Technology,"disability, accessibility, learning, students"
40,A government office has long queues for a basic service,Public Administration,Computer Science,"government office, queue, service, digital"
41,Citizens cannot easily track the status of their complaints,Public Administration,Computer Science,"complaint, tracking, government, status"
42,Residents need multilingual access to public services,Public Administration,Computer Science / NLP,"multilingual, public service, language, NLP"
43,Citizens are unsure which department handles a complaint,Public Administration,Computer Science / AI,"complaint, department, routing, AI"
44,A local government service requires repeated form filling,Public Administration,Computer Science,"government service, forms, automation"
45,People have difficulty finding information about government schemes,Public Administration,Computer Science / Information Systems,"government schemes, information, citizens"
46,Wheelchair users cannot access a public building entrance,Accessibility,Civil Engineering,"wheelchair, ramp, building, accessibility"
47,A footpath is difficult to use with a wheelchair,Accessibility,Civil Engineering,"wheelchair, footpath, accessibility, road"
48,Public buses need better accessibility for people with disabilities,Accessibility,Transportation Engineering,"bus, disability, accessibility, transport"
49,Visually impaired citizens need accessible public information,Accessibility,Computer Science / Assistive Technology,"visual impairment, accessibility, assistive technology"
50,A railway or bus stop needs better accessible signage,Accessibility,Civil Engineering / Design,"signage, accessibility, transport"
51,A village road becomes unusable during monsoon,Rural Livelihoods,Civil Engineering,"village road, monsoon, rural, infrastructure"
52,A damaged bridge is creating safety concerns,Disaster Management,Civil Engineering,"bridge, damage, safety, infrastructure"
53,Potholes are increasing on a busy local road,Urban Development,Civil Engineering,"potholes, road, traffic, maintenance"
54,Traffic congestion is severe near a school,Urban Development,Transportation Engineering,"traffic, school, congestion, road"
55,Pedestrians need a safer crossing near a market,Urban Development,Transportation Engineering,"pedestrian, crossing, market, road safety"
56,A bus stop has no shelter during rain,Urban Development,Civil Engineering,"bus stop, shelter, rain, public transport"
57,Public parking is causing congestion in a market area,Urban Development,Transportation Engineering,"parking, congestion, market, traffic"
58,A locality needs better drainage after road construction,Urban Development,Civil Engineering,"drainage, road construction, flooding"
59,A village needs a low-cost cold storage facility for farmers,Rural Livelihoods,Food Technology / Agricultural Engineering,"cold storage, farmers, crops, rural"
60,Women entrepreneurs need better access to local markets,Rural Livelihoods,Management / Rural Development,"women entrepreneurs, market, livelihood"
61,Artisans need a digital platform to sell local products,Rural Livelihoods,Computer Science / Management,"artisans, marketplace, local products, digital"
62,Rural youth need information about nearby employment opportunities,Rural Livelihoods,Computer Science / Management,"rural youth, employment, jobs, platform"
63,Self-help groups need simple digital bookkeeping tools,Rural Livelihoods,Computer Science / Management,"self-help group, bookkeeping, digital, finance"
64,Fishermen need better weather and sea-condition information,Rural Livelihoods,Ocean Engineering / Computer Science,"fishermen, weather, sea, alerts"
65,A coastal village needs an early warning system for storms,Disaster Management,Ocean Engineering / IoT,"coastal, storm, warning, IoT"
66,Residents need alerts for sudden heavy rainfall,Disaster Management,Computer Science / Meteorology,"rainfall, alerts, weather, warning"
67,A flood-prone area needs better evacuation route information,Disaster Management,Civil Engineering / GIS,"flood, evacuation, route, GIS"
68,Emergency shelters are difficult for citizens to locate,Disaster Management,GIS / Computer Science,"emergency shelter, location, GIS, disaster"
69,Citizens need a way to report disaster damage with photos,Disaster Management,Computer Science / GIS,"disaster damage, photos, reporting, GIS"
70,A community wants to monitor local air quality,Environment,Environmental Engineering / IoT,"air quality, sensors, IoT, pollution"
71,A lake needs continuous water-quality monitoring,Environment,Environmental Engineering / IoT,"lake, water quality, sensors, IoT"
72,Residents want to identify illegal waste dumping locations,Environment,Computer Vision / Environmental Engineering,"waste dumping, computer vision, pollution"
73,A community needs a recycling collection schedule,Environment,Computer Science / Environmental Engineering,"recycling, collection, waste, schedule"
74,Food waste from a public facility is increasing,Environment,Food Technology / Environmental Engineering,"food waste, recycling, composting"
75,A school wants to reduce its electricity consumption,Energy,Electrical Engineering / IoT,"school, electricity, energy saving, IoT"
76,A village wants to monitor solar power generation,Energy,Electrical Engineering / IoT,"solar, energy monitoring, IoT, village"
77,Street-light energy usage needs automatic monitoring,Energy,Electrical Engineering / IoT,"street light, energy monitoring, sensors"
78,A public building needs an energy-efficient lighting plan,Energy,Electrical Engineering,"lighting, energy efficiency, building"
79,Residents need information about safe battery disposal,Energy,Environmental Engineering,"battery, disposal, recycling, energy"
80,Students need a way to report unsafe conditions on campus,Education,Computer Science / Public Safety,"students, campus, safety, reporting"
81,A university wants to connect student ideas with real community problems,Education,Computer Science / AI,"university, students, community problems, AI"
82,Students need mentors for developing social-impact projects,Education,Computer Science / Management,"students, mentors, projects, social impact"
83,Universities need a platform to collaborate with industries on projects,Education,Management / Computer Science,"university, industry, collaboration, projects"
84,Industry experts need a structured way to evaluate student proposals,Education,Management / Computer Science,"industry, experts, proposal evaluation"
85,Citizens need to submit problems using voice in their local language,Public Administration,NLP / Computer Science,"voice, local language, speech, NLP"
86,Citizens need offline reporting when internet connectivity is poor,Public Administration,Computer Science / Mobile Computing,"offline, reporting, connectivity, mobile"
87,A citizen report may be duplicated by multiple residents,Public Administration,AI / Machine Learning,"duplicate, reports, similarity, AI"
88,Government staff need automatic categorization of incoming complaints,Public Administration,AI / Machine Learning,"complaint, classification, AI, categorization"
89,Government needs to prioritize urgent community problems,Public Administration,AI / Data Science,"priority, urgent, complaints, AI"
90,Citizens want to see the progress of an approved community challenge,Public Administration,Computer Science,"challenge, progress, tracking, citizen"
91,Residents want to provide feedback after a solution is implemented,Public Administration,Computer Science / Data Science,"feedback, solution, citizen, impact"
92,A local innovation project needs industry technical support,Rural Livelihoods,Engineering / Management,"innovation, industry, technical support"
93,A student team needs funding for a community prototype,Education,Management / Engineering,"students, prototype, funding, innovation"
94,A successful community solution needs to be scaled to other villages,Rural Livelihoods,Management / Engineering,"scale, villages, solution, innovation"
95,Citizens need a single platform to discover local social challenges,Public Administration,Computer Science / AI,"social challenges, platform, citizens, AI"
96,A community wants to track the impact of a completed project,Public Administration,Data Science / Computer Science,"impact tracking, project, data, community"
97,A village needs a community-level weather information display,Agriculture,Agricultural Technology / IoT,"weather, agriculture, farmers, IoT"
98,A public park needs smart monitoring for water usage,Water Resources,Civil Engineering / IoT,"park, water usage, monitoring, IoT"
99,Citizens need automatic translation when submitting local-language complaints,Public Administration,NLP / Computer Science,"translation, local language, complaint, NLP"
100,A community needs a dashboard to compare solutions and project impact,Public Administration,Data Science / Computer Science,"dashboard, solutions, impact, data"
